"","CASE_NBR","CREATED","CLOSED","STATUS","SUBJECT","REASON","TYPE","DESCRIPTION","LOCATION","ZIPCODE","address","LAT","LON"
"12",31396596,"1/4/2016 8:12:28 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","4400 SHANDWICK DR, Sacramento, CA",95843,"4400 SHANDWICK DR, Sacramento, CA, 95843",38.716589,-121.361909
"13",31396612,"1/4/2016 8:21:28 AM","","Open","Open311","Remote Device","Illegal dumping","Illegal dumping - 101807","4047 43RD ST, Sacramento, CA",95820,"4047 43RD ST, Sacramento, CA, 95820",38.537672,-121.456444
"14",31396647,"1/4/2016 8:39:46 AM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","9121 REDWATER DR, Sacramento, CA",95843,"9121 REDWATER DR, Sacramento, CA, 95843",38.726109,-121.375566
"16",31396742,"1/4/2016 9:20:05 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","5545 SKY PKWY,Unit 156, Sacramento, CA",95823,"5545 SKY PKWY,Unit 156, Sacramento, CA, 95823",38.502191,-121.436639
"17",31396780,"1/4/2016 9:40:56 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","3541 WHITNEY AVE,Unit 214, Sacramento, CA",95821,"3541 WHITNEY AVE,Unit 214, Sacramento, CA, 95821",38.628722,-121.381028
"18",31396828,"1/4/2016 10:02:50 AM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","5845 SHENANDOAH DR, Sacramento, CA",95841,"5845 SHENANDOAH DR, Sacramento, CA, 95841",38.672582,-121.339538
"19",31396950,"1/4/2016 11:14:46 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","3631 BELLINGER CT, Sacramento, CA",95660,"3631 BELLINGER CT, Sacramento, CA, 95660",38.655166,-121.378829
"20",31396980,"1/4/2016 11:31:17 AM","","Open","Open311","Remote Device","Code violation","Zoning violations - 101840","3530 BODEGA CT, Sacramento, CA",95864,"3530 BODEGA CT, Sacramento, CA, 95864",38.585123,-121.381586
"21",31397018,"1/4/2016 11:51:41 AM","","Open","Open311","Remote Device","Code violation","Zoning violations - 101844","2438 LOMA VISTA DR, Sacramento, CA",95825,"2438 LOMA VISTA DR, Sacramento, CA, 95825",38.609308,-121.399686
"22",31397046,"1/4/2016 12:02:39 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","3669 MYRTLE AVE, Sacramento, CA",95660,"3669 MYRTLE AVE, Sacramento, CA, 95660",38.654151,-121.379315
"23",31397102,"1/4/2016 12:28:10 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","2978 WRIGHT ST, Sacramento, CA",95821,"2978 WRIGHT ST, Sacramento, CA, 95821",38.619502,-121.405978
"24",31397479,"1/4/2016 3:52:46 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7736 WACHTEL WAY, Sacramento, CA",95662,"7736 WACHTEL WAY, Sacramento, CA, 95662",38.706559,-121.244287
"25",31397638,"1/4/2016 5:59:29 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","9824 SPRING ST, Sacramento, CA",95632,"9824 SPRING ST, Sacramento, CA, 95632",38.283605,-121.33144
"26",31397849,"1/5/2016 8:55:50 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","2978 WRIGHT ST, Sacramento, CA",95821,"2978 WRIGHT ST, Sacramento, CA, 95821",38.619502,-121.405978
"28",31397957,"1/5/2016 9:56:42 AM","","Open","311 Service Request","Transportation","Encroachment Violation","Encroachment Violation","1701 ADONIS WAY, Sacramento, CA",95864,"1701 ADONIS WAY, Sacramento, CA, 95864",38.595439,-121.356719
"29",31398092,"1/5/2016 11:02:54 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","4701 16TH AVE, Sacramento, CA",95820,"4701 16TH AVE, Sacramento, CA, 95820",38.537908,-121.45155
"31",31398109,"1/5/2016 11:10:31 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","5440 COLLEGE OAK DR, Sacramento, CA",95841,"5440 COLLEGE OAK DR, Sacramento, CA, 95841",38.665959,-121.350439
"32",31398298,"1/5/2016 12:56:41 PM","","Open","311 Service Request","Transportation","Median Right of Way Landscape Complaints","Median Right of Way Landscape Complaints","7109 STANFORD OAK DR, Sacramento, CA",95842,"7109 STANFORD OAK DR, Sacramento, CA, 95842",38.69492,-121.328971
"33",31398429,"1/5/2016 2:02:36 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","2229 EDISON AVE, Sacramento, CA",95821,"2229 EDISON AVE, Sacramento, CA, 95821",38.622668,-121.41277
"34",31398518,"1/5/2016 2:57:21 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","7725 VICTORY AVE, Sacramento, CA",95828,"7725 VICTORY AVE, Sacramento, CA, 95828",38.472023,-121.414162
"35",31398646,"1/5/2016 4:11:15 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","4794 MANZANITA AVE,Unit 1, Sacramento, CA",95608,"4794 MANZANITA AVE,Unit 1, Sacramento, CA, 95608",38.651009,-121.327571
"36",31398751,"1/5/2016 5:47:25 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","2279 HURLEY WAY, Sacramento, CA",95825,"2279 HURLEY WAY, Sacramento, CA, 95825",38.588845,-121.41166
"37",31398791,"1/5/2016 8:57:31 PM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","5948 CLOVER MANOR WAY, Sacramento, CA",95824,"5948 CLOVER MANOR WAY, Sacramento, CA, 95824",38.517697,-121.44661
"38",31398794,"1/5/2016 9:06:16 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","6729 FAIR OAKS BLVD, Sacramento, CA",95608,"6729 FAIR OAKS BLVD, Sacramento, CA, 95608",38.622338,-121.328551
"39",31398922,"1/6/2016 9:17:19 AM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","4519 RUDDY CT, Sacramento, CA",95842,"4519 RUDDY CT, Sacramento, CA, 95842",38.691415,-121.358643
"40",31399168,"1/6/2016 11:57:17 AM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","4340 ALSACE CT, Sacramento, CA",95628,"4340 ALSACE CT, Sacramento, CA, 95628",38.644178,-121.284238
"41",31399176,"1/6/2016 12:00:04 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","4340 ALSACE CT, Sacramento, CA",95628,"4340 ALSACE CT, Sacramento, CA, 95628",38.644178,-121.284238
"42",31399192,"1/6/2016 12:12:28 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","4340 ALSACE CT, Sacramento, CA",95628,"4340 ALSACE CT, Sacramento, CA, 95628",38.644178,-121.284238
"43",31399314,"1/6/2016 1:22:16 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","4545 SYCAMORE AVE, Sacramento, CA",95841,"4545 SYCAMORE AVE, Sacramento, CA, 95841",38.648131,-121.353565
"44",31399350,"1/6/2016 1:43:19 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","4605 PASADENA AVE, Sacramento, CA",95821,"4605 PASADENA AVE, Sacramento, CA, 95821",38.638211,-121.357257
"45",31399463,"1/6/2016 3:04:35 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","2001 HELENA AVE, Sacramento, CA",95821,"2001 HELENA AVE, Sacramento, CA, 95821",38.617166,-121.419065
"47",31399579,"1/6/2016 4:15:39 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","6430 VERNER AVE, Sacramento, CA",95841,"6430 VERNER AVE, Sacramento, CA, 95841",38.682766,-121.334086
"48",31399584,"1/6/2016 4:18:12 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","2349 VILLANOVA CIR, Sacramento, CA",95825,"2349 VILLANOVA CIR, Sacramento, CA, 95825",38.582532,-121.409182
"49",31399601,"1/6/2016 4:30:55 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","2505 CASTINE CT, Sacramento, CA",95826,"2505 CASTINE CT, Sacramento, CA, 95826",38.567605,-121.365166
"50",31399663,"1/6/2016 5:06:25 PM","","Open","311 Service Request","Transportation","Ditches/Culverts","Ditches/Culverts","11111 SIMMERHORN RD, Sacramento, CA",95632,"11111 SIMMERHORN RD, Sacramento, CA, 95632",38.332964,-121.262945
"51",31399723,"1/6/2016 6:58:34 PM","","Open","311 Service Request","Code - Zoning","Marijuana Cultivation Complaints","Marijuana Cultivation Complaints","9296 TAVERNOR RD, Sacramento, CA",95693,"9296 TAVERNOR RD, Sacramento, CA, 95693",38.417536,-121.203756
"53",31399843,"1/7/2016 8:22:46 AM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","5409 ANDREA BLVD, Sacramento, CA",95842,"5409 ANDREA BLVD, Sacramento, CA, 95842",38.691762,-121.339711
"54",31399870,"1/7/2016 8:43:45 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","211 SELBY RANCH RD,Unit 5, Sacramento, CA",95864,"211 SELBY RANCH RD,Unit 5, Sacramento, CA, 95864",38.570677,-121.379968
"55",31399898,"1/7/2016 9:01:08 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","6008 MARTIN LUTHER KING JR BLVD,Unit 2, Sacramento, CA",95824,"6008 MARTIN LUTHER KING JR BLVD,Unit 2, Sacramento, CA, 95824",38.516889,-121.464723
"56",31399965,"1/7/2016 9:37:02 AM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","5493 DIABLO DR, Sacramento, CA",95842,"5493 DIABLO DR, Sacramento, CA, 95842",38.686248,-121.337232
"57",31399979,"1/7/2016 9:44:53 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","2229 EDISON AVE,Unit 35, Sacramento, CA",95821,"2229 EDISON AVE,Unit 35, Sacramento, CA, 95821",38.622668,-121.41277
"58",31400254,"1/7/2016 12:13:49 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","8695 GREENBACK LN, Sacramento, CA",95662,"8695 GREENBACK LN, Sacramento, CA, 95662",38.678633,-121.235881
"59",31400336,"1/7/2016 12:57:20 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","3756 ROCK ISLAND DR, Sacramento, CA",95827,"3756 ROCK ISLAND DR, Sacramento, CA, 95827",38.552525,-121.341166
"60",31400351,"1/7/2016 1:05:47 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","210 W DELANO ST, Sacramento, CA",95626,"210 W DELANO ST, Sacramento, CA, 95626",38.71007,-121.46163
"61",31400362,"1/7/2016 1:10:34 PM","","Open","Open311","Remote Device","Other","Other - 102419","6131 HOFFMAN LN, Sacramento, CA",95628,"6131 HOFFMAN LN, Sacramento, CA, 95628",38.677116,-121.252352
"62",31400547,"1/7/2016 3:13:08 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","6532 GRATTAN WAY, Sacramento, CA",95660,"6532 GRATTAN WAY, Sacramento, CA, 95660",38.684402,-121.380621
"63",31400548,"1/7/2016 3:13:15 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","7531 GLENDORA CT, Sacramento, CA",95823,"7531 GLENDORA CT, Sacramento, CA, 95823",38.484133,-121.436904
"64",31400558,"1/7/2016 3:17:56 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","6530 GRATTAN WAY, Sacramento, CA",95660,"6530 GRATTAN WAY, Sacramento, CA, 95660",38.684394,-121.380571
"65",31400610,"1/7/2016 3:42:05 PM","","Open","311 Service Request","Transportation","Other","Transportation - Other","13503 BORDEN RD, Sacramento, CA",95638,"13503 BORDEN RD, Sacramento, CA, 95638",38.292812,-121.161743
"66",31400650,"1/7/2016 4:04:18 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","6204 SAMPSON BLVD, Sacramento, CA",95824,"6204 SAMPSON BLVD, Sacramento, CA, 95824",38.513105,-121.448965
"67",31400674,"1/7/2016 4:20:49 PM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","3301 BLACK EAGLE DR, Sacramento, CA",95843,"3301 BLACK EAGLE DR, Sacramento, CA, 95843",38.723751,-121.387309
"68",31400679,"1/7/2016 4:24:04 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","4621 ASHDALE CT, Sacramento, CA",95841,"4621 ASHDALE CT, Sacramento, CA, 95841",38.655004,-121.355982
"69",31400743,"1/7/2016 5:14:13 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","6431 FAIR OAKS BLVD, Sacramento, CA",95608,"6431 FAIR OAKS BLVD, Sacramento, CA, 95608",38.618028,-121.328653
"70",31400790,"1/7/2016 10:00:30 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 102513","5300 MCMILLAN DR, Sacramento, CA",95628,"5300 MCMILLAN DR, Sacramento, CA, 95628",38.643437,-121.268207
"72",31400913,"1/8/2016 9:00:47 AM","","Open","311 Service Request","Transportation","Median Right of Way Landscape Complaints","Median Right of Way Landscape Complaints","6500 GRANT AVE, Sacramento, CA",95608,"6500 GRANT AVE, Sacramento, CA, 95608",38.62932,-121.314305
"73",31401010,"1/8/2016 10:17:19 AM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","2011 WYDA WAY,Unit 5, Sacramento, CA",95825,"2011 WYDA WAY,Unit 5, Sacramento, CA, 95825",38.600054,-121.419745
"74",31401033,"1/8/2016 10:30:50 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","2313 I ST, Sacramento, CA",95673,"2313 I ST, Sacramento, CA, 95673",38.683351,-121.412764
"75",31401043,"1/8/2016 10:36:18 AM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","7749 ROSE PETAL WAY, Sacramento, CA",95828,"7749 ROSE PETAL WAY, Sacramento, CA, 95828",38.47574,-121.376886
"76",31401101,"1/8/2016 11:20:15 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","1741 WRIGHT ST,Unit 31, Sacramento, CA",95825,"1741 WRIGHT ST,Unit 31, Sacramento, CA, 95825",38.597913,-121.406034
"77",31401107,"1/8/2016 11:24:16 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","2621 HOWE AVE,Unit 101, Sacramento, CA",95821,"2621 HOWE AVE,Unit 101, Sacramento, CA, 95821",38.613625,-121.415276
"78",31401174,"1/8/2016 12:19:47 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","3541 WHITNEY AVE,Unit 208, Sacramento, CA",95821,"3541 WHITNEY AVE,Unit 208, Sacramento, CA, 95821",38.628722,-121.381028
"79",31401217,"1/8/2016 12:53:08 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","8178 HEFLIN CT, Sacramento, CA",95828,"8178 HEFLIN CT, Sacramento, CA, 95828",38.486332,-121.404873
"80",31401266,"1/8/2016 1:23:41 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","4801 SISKIYOU AVE, Sacramento, CA",95820,"4801 SISKIYOU AVE, Sacramento, CA, 95820",38.532136,-121.460605
"81",31401301,"1/8/2016 1:53:41 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","7500 CIRCLE PKWY, Sacramento, CA",95823,"7500 CIRCLE PKWY, Sacramento, CA, 95823",38.490888,-121.441861
"82",31401305,"1/8/2016 1:54:28 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","5408 CHAUNCEY WAY, Sacramento, CA",95662,"5408 CHAUNCEY WAY, Sacramento, CA, 95662",38.665161,-121.214958
"83",31401381,"1/8/2016 2:51:20 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 102661","7641 BLACK BEAR DR, Sacramento, CA",95843,"7641 BLACK BEAR DR, Sacramento, CA, 95843",38.705746,-121.376882
"84",31401483,"1/8/2016 3:55:09 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","6647 MAIN AVE,Unit B, Sacramento, CA",95662,"6647 MAIN AVE,Unit B, Sacramento, CA, 95662",38.676311,-121.20043
"85",31401490,"1/8/2016 4:03:26 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","7166 FAIR OAKS BLVD,Unit 2, Sacramento, CA",95608,"7166 FAIR OAKS BLVD,Unit 2, Sacramento, CA, 95608",38.616892,-121.32451
"86",31401512,"1/8/2016 4:21:46 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","1100 HOWE AVE,Unit 314, Sacramento, CA",95825,"1100 HOWE AVE,Unit 314, Sacramento, CA, 95825",38.585318,-121.415321
"87",31401513,"1/8/2016 4:24:00 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","7402 STOCKTON BLVD, Sacramento, CA",95823,"7402 STOCKTON BLVD, Sacramento, CA, 95823",38.488649,-121.42572
"88",31401548,"1/8/2016 4:50:35 PM","","Open","Open311","Remote Device","Other","Other - 102687","7829 RODRIGUEZ CIR, Sacramento, CA",95829,"7829 RODRIGUEZ CIR, Sacramento, CA, 95829",38.475198,-121.30908
"89",31401588,"1/8/2016 5:35:16 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","901 ANDERSON WOOD WAY, Sacramento, CA",95673,"901 ANDERSON WOOD WAY, Sacramento, CA, 95673",38.696951,-121.445242
"90",31401660,"1/8/2016 11:50:39 PM","","Open","Open311","Remote Device","Other","Other - 102727","6205 WHITECLIFF WAY, Sacramento, CA",95660,"6205 WHITECLIFF WAY, Sacramento, CA, 95660",38.679382,-121.362643
"91",31401683,"1/9/2016 9:08:38 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","3536 WATT AVE,Unit 302B, Sacramento, CA",95821,"3536 WATT AVE,Unit 302B, Sacramento, CA, 95821",38.629868,-121.382808
"92",31401699,"1/9/2016 10:49:36 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","5545 MARCONI AVE,Unit 134, Sacramento, CA",95608,"5545 MARCONI AVE,Unit 134, Sacramento, CA, 95608",38.617217,-121.333555
"93",31401735,"1/9/2016 2:34:38 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","1961 HOWE AVE,Unit 39, Sacramento, CA",95825,"1961 HOWE AVE,Unit 39, Sacramento, CA, 95825",38.602324,-121.415204
"94",31401812,"1/10/2016 5:00:11 AM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","8612 WILLOW GROVE WAY, Sacramento, CA",95828,"8612 WILLOW GROVE WAY, Sacramento, CA, 95828",38.463895,-121.388665
"95",31401872,"1/10/2016 6:40:02 PM","","Open","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","3301 BLACK EAGLE DR, Sacramento, CA",95843,"3301 BLACK EAGLE DR, Sacramento, CA, 95843",38.723751,-121.387309
"96",31401909,"1/11/2016 7:13:42 AM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","5307 MARCONI AVE, Sacramento, CA",95608,"5307 MARCONI AVE, Sacramento, CA, 95608",38.617381,-121.341227
"97",31401938,"1/11/2016 7:52:20 AM","","Open","Open311","Remote Device","Other","Other - 102845","6526 FAIR OAKS BLVD, Sacramento, CA",95608,"6526 FAIR OAKS BLVD, Sacramento, CA, 95608",38.618191,-121.328499
"98",31401979,"1/11/2016 8:05:43 AM","","Open","Open311","Remote Device","Public right of way","Public right of way - 102942","7112 STANFORD OAK DR, Sacramento, CA",95842,"7112 STANFORD OAK DR, Sacramento, CA, 95842",38.695013,-121.329077
"99",31401998,"1/11/2016 8:09:22 AM","","Open","Open311","Remote Device","Tree","Tree - 102967","3410 CLUB LN, Sacramento, CA",95821,"3410 CLUB LN, Sacramento, CA, 95821",38.626232,-121.385174
"100",31401999,"1/11/2016 8:09:23 AM","","Open","Open311","Remote Device","Tree","Tree - 102966","3205 POPE AVE, Sacramento, CA",95821,"3205 POPE AVE, Sacramento, CA, 95821",38.625111,-121.389327
"101",31402000,"1/11/2016 8:09:23 AM","","Open","Open311","Remote Device","Illegal dumping","Illegal dumping - 102972","2912 WATT AVE, Sacramento, CA",95821,"2912 WATT AVE, Sacramento, CA, 95821",38.618044,-121.382952
"102",31402011,"1/11/2016 8:13:21 AM","","Open","Open311","Remote Device","Other","Other - 102994","8101 GERBER RD, Sacramento, CA",95828,"8101 GERBER RD, Sacramento, CA, 95828",38.481678,-121.408768
"103",31402207,"1/11/2016 10:01:59 AM","","Open","311 Service Request","Transportation","Other","Transportation - Other","10715 ARNO RD, Sacramento, CA",95632,"10715 ARNO RD, Sacramento, CA, 95632",38.336321,-121.290035
"104",31402408,"1/11/2016 11:49:40 AM","","Open","311 Service Request","Code - Zoning","Private Property - Animals","Private Property - Animal","9021 LELAND AVE, Sacramento, CA",95829,"9021 LELAND AVE, Sacramento, CA, 95829",38.475406,-121.367517
"105",31402451,"1/11/2016 12:18:10 PM","","Open","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","4540 COUNTRY RUN WAY, Sacramento, CA",95843,"4540 COUNTRY RUN WAY, Sacramento, CA, 95843",38.718621,-121.390753
"106",31402493,"1/11/2016 12:42:17 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","4604 MADISON AVE, Sacramento, CA",95841,"4604 MADISON AVE, Sacramento, CA, 95841",38.660895,-121.357649
"107",31402620,"1/11/2016 1:50:32 PM","","Open","Open311","Remote Device","Other","Other - 103114","3634 MORSE AVE, Sacramento, CA",95821,"3634 MORSE AVE, Sacramento, CA, 95821",38.631634,-121.392099
"108",31402716,"1/11/2016 2:50:54 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","501 ELKHORN BLVD, Sacramento, CA",95673,"501 ELKHORN BLVD, Sacramento, CA, 95673",38.682049,-121.454109
"109",31402719,"1/11/2016 2:52:39 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","7941 FAIR OAKS BLVD, Sacramento, CA",95608,"7941 FAIR OAKS BLVD, Sacramento, CA, 95608",38.636636,-121.318318
"110",31402739,"1/11/2016 3:04:13 PM","","Open","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","4344 FRIZELL AVE, Sacramento, CA",95842,"4344 FRIZELL AVE, Sacramento, CA, 95842",38.663255,-121.363459
"111",31402746,"1/11/2016 3:08:07 PM","","Open","311 Service Request","Code - Housing","Sub-Standard Housing Complaints","Sub-Standard Housing Complaints","5049 ENGLE RD, Sacramento, CA",95608,"5049 ENGLE RD, Sacramento, CA, 95608",38.631948,-121.347752
"112",31402929,"1/11/2016 5:08:19 PM","","Open","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","1219 CLINTON RD, Sacramento, CA",95825,"1219 CLINTON RD, Sacramento, CA, 95825",38.587348,-121.406906
"114",31402976,"1/11/2016 7:02:22 PM","","Open","311 Service Request","Code - Zoning","Transient Complaints","Transient Complaints","3100 51ST AVE, Sacramento, CA",95823,"3100 51ST AVE, Sacramento, CA, 95823",38.504796,-121.4733
"115",31403087,"1/12/2016 8:10:31 AM","","Open","Open311","Remote Device","Other","Other - 103221","5743 MARCONI AVE, Sacramento, CA",95608,"5743 MARCONI AVE, Sacramento, CA, 95608",38.617276,-121.332349
"116",31403180,"1/12/2016 9:13:20 AM","","Open","311 Service Request","Code - Zoning","Private Property - Animals","Private Property - Animal","8043 GOLDEN MEADOW DR, Sacramento, CA",95828,"8043 GOLDEN MEADOW DR, Sacramento, CA, 95828",38.465979,-121.395241
