"CASE_NBR","CREATED","CLOSED","STATUS","SUBJECT","REASON","TYPE","DESCRIPTION","LOCATION","ZIPCODE"
"31396045","1/1/2016 12:40:09 PM","2/4/2016 11:30:13 AM","Closed","311 Service Request","Environmental - Health","Food Facility Complaints","Food Facility Complaints","1023 2ND ST,SACRAMENTO,CA 95814","95814"
"31396046","1/1/2016 12:43:03 PM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","7865 SUNRISE MIST WAY, 95828","95828"
"31396048","1/1/2016 12:46:38 PM","1/2/2016 11:30:02 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","9464 SAINT LOUIS WAY, 95827","95827"
"31396050","1/1/2016 12:50:53 PM","1/1/2016 12:59:42 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","2664 LA VIA WAY, 95825","95825"
"31396052","1/1/2016 12:58:26 PM","1/13/2016 2:55:21 PM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","INTERSECTION of KENNETH AVE and CENTRAL AVE, 95662","95662"
"31396056","1/1/2016 1:02:15 PM","1/1/2016 5:30:03 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","INTERSECTION of NORTHROP AVE and FULTON AVE, 95864","95864"
"31396057","1/1/2016 1:02:33 PM","1/4/2016 1:30:02 PM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","5732 ENGLE RD,Unit 2, 95608","95608"
"31396063","1/1/2016 1:11:17 PM","2/19/2016 10:34:35 AM","Closed","Open311","Remote Device","Other","Other - 101515","7750 OCEANO CT, 95843","95843"
"31396064","1/1/2016 1:11:59 PM","1/2/2016 9:30:03 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","4533 JENNESS WAY, 95842","95842"
"31396068","1/1/2016 1:20:36 PM","1/13/2016 2:55:47 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 101517","7236 EMINENT CT, 95842","95842"
"31396072","1/1/2016 1:29:14 PM","1/2/2016 9:30:03 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","3315 JAYANNE WAY, 95608","95608"
"31396073","1/1/2016 1:30:36 PM","1/13/2016 2:56:02 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 101522","5035 STRASBOURG WAY, 95842","95842"
"31396074","1/1/2016 1:30:36 PM","1/13/2016 2:56:19 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 101519","5027 STRASBOURG WAY, 95842","95842"
"31396076","1/1/2016 1:40:30 PM","1/13/2016 2:56:36 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 101523","7314 HIGH POINT LN, 95842","95842"
"31396077","1/1/2016 1:40:30 PM","1/13/2016 2:56:50 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 101524","6699 WEATHERBY WAY, 95842","95842"
"31396078","1/1/2016 1:41:21 PM","1/13/2016 2:57:07 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 101525","6624 HILLSDALE BLVD, 95842","95842"
"31396079","1/1/2016 1:41:45 PM","1/1/2016 2:30:12 PM","Closed","311 Service Request","Animal Care","Animal Care - Assist","Animal Care - Assist","4704 47TH ST, 95820","95820"
"31396082","1/1/2016 1:43:47 PM","1/21/2016 11:44:16 AM","Closed","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","5864 GARDEN PARK CT,Unit B, 95608","95608"
"31396083","1/1/2016 1:43:47 PM","1/1/2016 1:49:54 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","6834 WOODMORE OAKS DR, 95662","95662"
"31396085","1/1/2016 1:48:22 PM","1/1/2016 1:49:48 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","5400 CYPRESS AVE, 95608","95608"
"31396086","1/1/2016 1:51:20 PM","1/13/2016 2:57:23 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 101526","6699 WEATHERBY WAY, 95842","95842"
"31396088","1/1/2016 1:54:26 PM","1/1/2016 1:59:46 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","6045 SUNGLOW CT, 95608","95608"
"31396093","1/1/2016 1:59:46 PM","1/1/2016 3:30:13 PM","Closed","311 Service Request","Animal Care","Animal Care - Wild","Animal Care - Wild","5520 GENERALS PL,Unit 97, 95660","95660"
"31396094","1/1/2016 2:01:24 PM","1/27/2016 12:20:03 AM","Closed","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","6250 SILVERTON WAY, 95608","95608"
"31396098","1/1/2016 2:11:30 PM","2/3/2016 12:20:02 AM","Closed","Open311","Remote Device","Abandoned vehicle","Abandoned Vehicle - 101529","5319 ANDREA BLVD, 95842","95842"
"31396099","1/1/2016 2:11:33 PM","1/1/2016 3:30:13 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","7228 STOCKTON BLVD, 95823","95823"
"31396101","1/1/2016 2:18:35 PM","1/1/2016 6:30:04 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","INTERSECTION of FAIR OAKS BLVD and SUNRISE BLVD, 95628","95628"
"31396116","1/1/2016 2:39:48 PM","1/1/2016 3:14:02 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of ROBBINS RD and SIENNA SAND DR, 95829","95829"
"31396119","1/1/2016 2:45:10 PM","1/1/2016 4:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of LA JUNTA DR and CENTRAL AVE, 95662","95662"
"31396122","1/1/2016 2:48:49 PM","1/1/2016 2:49:50 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","8889 CARLISLE AVE, 95828","95828"
"31396126","1/1/2016 3:01:18 PM","1/1/2016 3:09:53 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","8967 GIANT PANDA DR, 95829","95829"
"31396136","1/1/2016 3:20:06 PM","1/1/2016 3:29:58 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","2828 CLARK AVE, 95608","95608"
"31396140","1/1/2016 3:35:53 PM","1/1/2016 3:39:54 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","9509 RIVER ROSE WAY, 95827","95827"
"31396142","1/1/2016 3:47:49 PM","1/1/2016 3:49:59 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","5640 ANGELINA AVE, 95608","95608"
"31396149","1/1/2016 4:05:53 PM","1/2/2016 11:30:03 AM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","INTERSECTION of SUNSET AVE and QUAIL MEADOW WAY, 95628","95628"
"31396151","1/1/2016 4:10:36 PM","1/5/2016 2:59:15 PM","Closed","Open311","Remote Device","Illegal dumping","Illegal dumping - 101544","4716 ROOSEVELT AVE, 95820","95820"
"31396152","1/1/2016 4:10:39 PM","1/1/2016 5:17:13 PM","Closed","Open311","Remote Device","Other","Other - 101545","7846 FAIR OAKS BLVD,Unit D, 95608","95608"
"31396159","1/1/2016 4:23:06 PM","1/2/2016 12:30:10 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","8250 KAMMERER RD, 95757","95757"
"31396161","1/1/2016 4:30:33 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 101548","8100 OAHU DR, 95628","95628"
"31396162","1/1/2016 4:30:33 PM","1/13/2016 2:58:21 PM","Closed","Open311","Remote Device","Pothole","Pothole - 101550","11101 FAIR OAKS BLVD, 95628","95628"
"31396166","1/1/2016 4:40:29 PM","1/25/2016 11:18:45 AM","Closed","Open311","Remote Device","Code violation","Zoning violations - 101555","8100 OAHU DR, 95628","95628"
"31396175","1/1/2016 4:58:44 PM","1/1/2016 5:00:10 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","5717 ANGELINA AVE, 95608","95608"
"31396177","1/1/2016 5:01:41 PM","1/13/2016 2:58:39 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 101556","5029 BURNBRAE PL, 95843","95843"
"31396178","1/1/2016 5:10:27 PM","1/13/2016 2:59:01 PM","Closed","Open311","Remote Device","Pothole","Pothole - 101557","2301 WATT AVE, 95825","95825"
"31396182","1/1/2016 5:19:46 PM","1/1/2016 5:20:15 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","8782 PHOENIX AVE, 95628","95628"
"31396183","1/1/2016 5:22:26 PM","1/1/2016 5:30:21 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","2931 WHITEWOOD DR, 95608","95608"
"31396184","1/1/2016 5:24:37 PM","1/1/2016 6:30:13 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of EAGLES NEST RD and KIEFER BLVD, 95830","95830"
"31396187","1/1/2016 5:39:02 PM","2/13/2016 1:30:11 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","3644 ARROYO SECO LN, 95660","95660"
"31396189","1/1/2016 5:42:47 PM","1/1/2016 5:50:16 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","4959 SILVER RANCH WAY, 95608","95608"
"31396190","1/1/2016 5:44:06 PM","1/1/2016 5:46:57 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","8257 GYPSY STAR WAY, 95829","95829"
"31396196","1/1/2016 6:06:18 PM","1/1/2016 6:10:17 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","8172 DUNCANSBY CT, 95829","95829"
"31396199","1/1/2016 6:28:19 PM","1/1/2016 6:30:20 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","5637 ANGELINA AVE, 95608","95608"
"31396201","1/1/2016 6:36:08 PM","1/28/2016 12:20:01 AM","Closed","311 Service Request","Code - Zoning","Private Property - Vehicles","Private Property - Vehicle","7048 RIO LINDA BLVD, 95673","95673"
"31396216","1/1/2016 7:57:50 PM","1/1/2016 8:00:45 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","3016 GARFIELD AVE, 95608","95608"
"31396225","1/1/2016 8:45:28 PM","1/1/2016 8:50:46 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","3109 MARLYNN ST, 95608","95608"
"31396227","1/1/2016 8:51:30 PM","1/13/2016 2:59:18 PM","Closed","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","INTERSECTION of PALM AVE and SAN JUAN AVE, 95628","95628"
"31396228","1/1/2016 8:52:50 PM","1/26/2016 8:05:17 AM","Closed","311 Service Request","Transportation","Pothole Sidewalk Complaints","Pothole Sidewalk Complaints","INTERSECTION of PALM AVE and LEAVITT WAY, 95628","95628"
"31396238","1/1/2016 9:38:14 PM","1/1/2016 9:40:47 PM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","1221 EASTERN AVE, 95864","95864"
"31396248","1/1/2016 10:30:39 PM","1/13/2016 3:01:10 PM","Closed","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","INTERSECTION of GOLD COUNTRY BLVD and EMIGRANT GAP DR, 95670","95670"
"31396255","1/2/2016 12:38:50 AM","1/13/2016 3:06:12 PM","Closed","311 Service Request","Transportation","Traffic Sign Complaints","Traffic Sign Complaints","3700 BRANCH CENTER RD, 95827","95827"
"31396256","1/2/2016 2:16:22 AM","1/13/2016 3:08:35 PM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","6968 65TH ST, 95823","95823"
"31396260","1/2/2016 2:50:27 AM","","Open","311 Service Request","Transportation","Street Light Complaints","Street Light Complaints","INTERSECTION of 65TH ST and FLORIN RD, 95823","95823"
"31396261","1/2/2016 6:10:02 AM","1/2/2016 9:30:13 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","6001 VERNER AVE, 95841","95841"
"31396262","1/2/2016 7:51:01 AM","1/4/2016 7:05:58 AM","Closed","311 Service Request","Water Resources","Incoming Email","","9481 WHITHORN CT,ELK GROVE,CA 95758","95758"
"31396263","1/2/2016 7:58:41 AM","1/2/2016 10:30:12 AM","Closed","311 Service Request","Animal Care","Animal Care - Wild","Animal Care - Wild","8467 SUNSET AVE, 95628","95628"
"31396265","1/2/2016 8:14:37 AM","1/2/2016 9:30:13 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","5954 GARFIELD AVE, 95841","95841"
"31396267","1/2/2016 8:39:17 AM","1/2/2016 12:30:10 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","2811 TOURMALINE WAY, 95843","95843"
"31396269","1/2/2016 9:37:47 AM","1/2/2016 11:30:12 AM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","3424 FRUITRIDGE RD, 95820","95820"
"31396270","1/2/2016 9:43:36 AM","","Open","311 Service Request","Code - Zoning","Business Area Not Zoned","Business Area Not Zoned","6301 CLAUSSEN WAY, 95660","95660"
"31396272","1/2/2016 10:21:50 AM","1/2/2016 1:30:11 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","INTERSECTION of DON JULIO BLVD and WALERGA RD, 95842","95842"
"31396273","1/2/2016 10:22:00 AM","2/12/2016 12:20:01 AM","Closed","311 Service Request","Code - Zoning","Zoning - Private Property Complaints","Private Property Complaints","8891 EVENING STAR CT, 95662","95662"
"31396274","1/2/2016 10:40:38 AM","1/8/2016 2:39:44 PM","Closed","Open311","Remote Device","Illegal dumping","Illegal dumping - 101609","7614 FEATHER CT, 95843","95843"
"31396275","1/2/2016 10:49:05 AM","1/2/2016 10:52:40 AM","Closed","311 Service Request","Waste Management","Missed Service","Missed Service","9105 GRECO CT, 95829","95829"
"31396276","1/2/2016 10:58:20 AM","1/2/2016 4:30:03 PM","Closed","311 Service Request","Animal Care","Animal Investigations","Animal Investigation","3210 ALDER HILL CT, 95843","95843"
"31396277","1/2/2016 11:16:12 AM","1/30/2016 12:20:23 AM","Closed","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","7022 WATT AVE, 95660","95660"
"31396278","1/2/2016 11:20:47 AM","1/5/2016 10:48:43 AM","Closed","311 Service Request","Water Resources","Stormwater Incoming Email","Stormwater Incoming Email","8540 STILL WOODS CT, 95828","95828"
"31396280","1/2/2016 11:39:20 AM","1/2/2016 1:30:11 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","6324 FLORIN RD, 95823","95823"
"31396281","1/2/2016 11:41:18 AM","1/5/2016 8:39:18 AM","Closed","Open311","Remote Device","Illegal dumping","Illegal dumping - 101627","4725 HEATHERBRAE CIR, 95842","95842"
"31396282","1/2/2016 11:41:38 AM","1/21/2016 11:44:02 AM","Closed","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","4958 FERIGO LN, 95841","95841"
"31396284","1/2/2016 11:50:35 AM","2/17/2016 12:21:49 PM","Closed","Open311","Remote Device","Graffiti","Graffiti - 101628","10635 FAIR OAKS BLVD, 95628","95628"
"31396285","1/2/2016 12:07:32 PM","1/2/2016 3:30:03 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","6805 TERRENO DR, 95683","95683"
"31396286","1/2/2016 12:11:09 PM","","Open","311 Service Request","Code - Zoning","Private Property - Animals","Private Property - Animal","7540 DELTA POINTE WAY, 95823","95823"
"31396289","1/2/2016 12:37:19 PM","2/13/2016 1:30:11 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","337 W ASCOT AVE, 95673","95673"
"31396291","1/2/2016 12:50:16 PM","1/2/2016 4:30:12 PM","Closed","311 Service Request","Animal Care","Animal Care - Wild","Animal Care - Wild","4602 MYRTLE AVE, 95841","95841"
"31396294","1/2/2016 1:07:52 PM","1/2/2016 3:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","6520 TUSCANY CT, 95673","95673"
"31396295","1/2/2016 1:20:35 PM","1/21/2016 11:44:02 AM","Closed","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","4960 FERIGO LN, 95841","95841"
"31396298","1/2/2016 1:35:48 PM","1/2/2016 2:30:03 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","8500 STORY RIDGE WAY, 95843","95843"
"31396299","1/2/2016 1:35:54 PM","1/2/2016 3:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","10575 CALVINE RD, 95830","95830"
"31396300","1/2/2016 1:42:31 PM","1/2/2016 3:30:12 PM","Closed","311 Service Request","Animal Care","Stray Animals","Stray Animal","5831 FAIR OAKS BLVD, 95608","95608"
"31396301","1/2/2016 2:00:39 PM","","Open","Open311","Remote Device","Code violation","Zoning violations - 101647","5685 SAMPSON BLVD, 95824","95824"
"31396302","1/2/2016 2:07:16 PM","1/14/2016 8:00:43 AM","Closed","311 Service Request","Transportation","Traffic Sign Complaints","Traffic Sign Complaints","INTERSECTION of 65TH ST and SKY PKWY, 95823","95823"
"31396306","1/2/2016 3:02:54 PM","2/17/2016 8:13:47 AM","Closed","311 Service Request","Transportation","Other","Transportation - Other","INTERSECTION of 7TH AVE and N ST, 95673","95673"
"31396307","1/2/2016 3:04:39 PM","1/2/2016 4:30:03 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","INTERSECTION of CHERRY LN and ELKHORN BLVD, 95673","95673"
"31396309","1/2/2016 3:07:46 PM","1/5/2016 2:55:49 PM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","3912 WESTPORTER DR, 95826","95826"
"31396313","1/2/2016 3:12:47 PM","1/6/2016 5:30:10 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","7110 ROTHERFIELD CT, 95662","95662"
"31396314","1/2/2016 3:25:01 PM","1/21/2016 11:45:53 AM","Closed","311 Service Request","Code - Abandon Vehicles","Abandoned Vehicles","Abandoned Vehicle","7520 GREYHAWK CT, 95828","95828"
"31396317","1/2/2016 3:33:01 PM","1/21/2016 11:44:16 AM","Closed","311 Service Request","Code - Housing","Emergency Housing Conditions","Emergency Housing Condition","9090 CASELMAN RD, 95829","95829"
"31396319","1/2/2016 4:01:39 PM","1/2/2016 5:30:12 PM","Closed","311 Service Request","Animal Care","Animal Care - Assist","Animal Care - Assist","3700 BRANCH CENTER RD, 95827","95827"
"31396321","1/2/2016 4:06:27 PM","1/2/2016 9:30:03 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","2900 BRYCE ST, 95821","95821"
"31396323","1/2/2016 4:10:04 PM","1/2/2016 9:30:03 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","3826 ARDEN WAY, 95864","95864"
"31396324","1/2/2016 4:12:40 PM","1/2/2016 9:30:03 PM","Closed","311 Service Request","Animal Care","Dead Animals","Dead Animals","INTERSECTION of ALTA ARDEN EXPY and WRIGHT ST, 95825","95825"
"31396327","1/2/2016 4:21:48 PM","1/14/2016 12:30:01 PM","Closed","311 Service Request","Animal Care","Owned Animals","Owned Animal","1738 U ST, 95673","95673"
"31396328","1/2/2016 4:23:22 PM","1/7/2016 11:24:31 AM","Closed","311 Service Request","Waste Management","Illegal Dumping","Illegal Dumping","2224 EDISON AVE, 95821","95821"
"31396336","1/2/2016 4:49:33 PM","1/14/2016 8:03:01 AM","Closed","311 Service Request","Transportation","On-Call - DOT","On-Call - DOT","INTERSECTION of FOLSOM BLVD and MILLS PARK DR,RANCHO CORDOVA,CA 95670","95670"
"31396340","1/2/2016 5:17:16 PM","1/4/2016 7:29:49 AM","Closed","311 Service Request","Water Resources","Incoming Email","","9387 FOREST VISTA WAY,ELK GROVE,CA 95758","95758"
